number,code,,ssdate,sssrhsl(%),fxj(y),ssdate1,bkzf,dyrzf,derzf,dsrzf,y
476,688662,2021/4/30,20210401,75.68,15.61,2021/4/1,3.18%,129.98,0.06,-0.07,37.28
477,688663,2021/4/30,20210413,74.86,14.48,2021/4/13,-1.42%,53.66,-0.11,0,21.91
478,688665,2021/2/28,20210209,77.68,29.53,2021/2/9,-1.13%,121.81,-0.27,0.07,64.57
479,688667,2021/3/31,20210312,70.13,75.42,2021/3/12,0.51%,65.08,-0.17,-0.01,123.76
480,688668,2020/12/31,20201221,75.06,20.07,2020/12/21,-10.94%,123.67,-0.14,-0.07,43.64
481,688669,2021/1/31,20210125,67.93,36.65,2021/1/25,-0.09%,42.84,-0.14,0.02,51.73
483,688676,2021/3/31,20210309,75.89,10.1,2021/3/9,2.65%,141.09,-0.17,-0.04,23.6
484,688677,2021/2/28,20210226,75.5,35.76,2021/2/26,-0.29%,57.21,0.16,0.05,67.63
485,688678,2020/12/31,20201223,69.99,18.05,2020/12/23,-7.11%,59.94,-0.1,-0.01,28.12
486,688679,2020/12/31,20201225,70.25,12.05,2020/12/25,-8.19%,57.84,-0.16,-0.03,18.52
487,688680,2021/1/31,20210122,75.83,69.94,2021/1/22,-7.05%,211.7,-0.06,0,216.96
488,688681,2021/6/30,20210616,68.07,9.56,2021/6/16,8.94%,157.43,-0.2,-0.02,24.39
489,688682,2021/4/30,20210420,84.45,45.72,2021/4/20,-5.27%,126.4,-0.17,0.04,73.15
490,688683,2021/4/30,20210412,73.03,9.51,2021/4/12,-3.30%,85.7,-0.08,-0.05,17.36
491,688685,2021/5/31,20210513,84.65,9.02,2021/5/13,12.65%,240.02,-0.06,-0.14,30.67
492,688686,2020/12/31,20201231,75.69,78.49,2020/12/31,0.46%,176.21,0.19,0.05,182.39
493,688687,2021/2/28,20210208,72.34,18.98,2021/2/8,1.12%,121.29,-0.24,0.02,41.2
494,688689,2021/1/31,20210127,73.82,14.01,2021/1/27,-5.68%,128.91,0.12,0.01,40.33
495,688690,2021/6/30,20210623,80.25,8.07,2021/6/23,-1.24%,"1,273.98",0.04,-0.1,117.18
496,688696,2021/3/31,20210303,82.54,133.73,2021/3/3,-2.52%,296.33,0,0.16,430.15
497,688697,2021/9/30,20210917,71.94,7.55,2021/9/17,-7.61%,197.62,-0.15,0.03,22.08
498,688698,2020/12/31,20201229,80.91,10.75,2020/12/29,0.46%,86.23,-0.03,-0.08,19.68
499,688699,2020/12/31,20201218,72.78,38.43,2020/12/18,-2.46%,118.53,-0.15,-0.12,55.14
500,688700,2021/6/30,20210615,80.25,9.41,2021/6/15,4.41%,339.21,-0.23,0.04,40.92
502,688707,2021/9/30,20210914,77.21,11.75,2021/9/14,-1.18%,299.74,0,-0.13,46.75
503,688711,2021/9/30,20210901,73.04,27.51,2021/9/1,-6.12%,179.53,0.31,-0.08,72.06
504,688718,2021/7/31,20210728,89.6,5.85,2021/7/28,1.21%,586.84,0.12,-0.14,45.1
505,688722,2021/10/31,20211019,94.13,4.51,2021/10/19,-4.43%,262.08,-0.11,-0.06,16.33
506,688728,2021/8/31,20210818,70.37,14.38,2021/8/18,-9.41%,145.13,0.1,-0.08,38.71
507,688733,2021/8/31,20210817,75.51,15.49,2021/8/17,10.26%,302.84,0.01,0.11,75.76
508,688737,2021/10/31,20211022,55.3,70.9,2021/10/22,2.72%,-6.87,-0.03,-0.04,65.48
509,688739,2021/10/31,20211028,53,110,2021/10/28,-5.30%,-27.27,-0.01,0.01,78.57
